id,time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,d,m_x1,m_x2,m_x3,m_x4,m_x5,m_x6,m_x7,m_x8,m_x9,m_x10,m_x11,m_x12,m_x13,m_x14,m_x15,m_x16,m_x17,m_x18,m_x19,m_x20,m_x21,m_x22,m_x23,m_x24,m_x25,m_x26,m_x27,m_x28,m_x29,m_x30,m_d,y
1,1,2.2286613,1.6905339,-2.7940819,11.11433,8.8262177,-3.9921484,3.2532394,6.059938,-9.55686,.69953173,3.0410125,6.4154677,1.0017228,6.2647138,1.3162934,-3.8164103,-3.0906422,-3.0051141,13.666772,8.143815,-1.1084877,-2.7656155,-3.8608782,1.580256,1.246576,-8.5483637,-7.3282638,-.57744527,2.3173854,.69952446,-1.6992582,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,-3.973063
1,2,7.4777365,.89223069,-2.0939696,-4.0721574,3.9361162,5.9183326,1.831009,3.8444767,1.5576617,4.6301727,5.2184358,7.3240452,-2.3124876,1.0574673,.24469011,-.012893949,2.9751089,1.1592311,7.2514439,1.3267303,-5.5531015,2.3279517,.81333566,3.5157647,6.4835348,1.224968,-5.1424718,9.0093842,11.107321,2.3083801,-5.6840615,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,-10.303778
1,3,-6.778131,6.7881875,-1.8140866,2.6128931,8.0656023,3.324204,3.9652381,2.8951371,7.7762361,2.4186771,-.55346185,-3.4725175,-2.6483409,4.9906621,-5.1606517,2.3200481,2.4730866,3.2299259,.099067472,4.6812181,-2.1152868,3.1498592,-.75497919,2.2350862,3.3244703,-3.6119471,-2.4491656,1.6690214,1.1058179,-.66415823,7.7815347,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,11.109933
1,4,-.36688972,-3.5370691,1.8084828,-8.5668802,9.5447378,11.076738,2.877717,2.449892,8.0412741,-2.08143,4.2508869,.80735397,-7.2102461,-1.4574187,-.38962483,2.3706033,7.5728521,-7.2467566,9.1049623,1.5566297,1.2296367,-4.0141358,-1.4146086,-6.0777583,2.2311728,10.399766,-2.0361173,5.053535,7.2520356,3.9505231,.97128987,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,2.7309794
1,5,9.054656,1.4772189,.24248588,-.59029311,-6.1633883,.75341469,-3.3534415,-.44943777,-8.7253733,.98371959,-2.5936022,-8.533411,-1.5347928,2.3843796,3.3084316,-.57531065,5.4438906,3.5039933,-9.1684666,-4.0110769,.20305064,-.77278423,-.56441557,2.1743815,2.6344326,-8.7669439,1.974292,-1.3118078,1.7159984,-1.8521875,5.092845,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,2.9672208
1,6,-5.8348851,5.782609,-2.5719683,1.9519805,-1.2613803,-.38745382,-4.370841,7.7953877,2.1352336,2.7016866,3.5446534,-4.4744225,4.9951982,-4.5409293,1.5677433,5.4818602,2.7067497,6.736186,5.6776209,2.9202313,1.2881479,-6.2326632,2.6511464,-1.2017689,6.3456712,2.7571731,3.0849085,-.39682654,-.47131735,-7.4025726,7.965158,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,11.993943
1,7,1.9302235,-.097295932,5.2600932,3.61777,2.2056956,1.6194481,-5.7933517,9.9129238,-12.465318,-.43046588,4.612052,-2.434937,7.4050117,3.4424191,-.49685404,8.4948969,-5.3920202,-2.0983856,1.0203243,8.0035782,6.1212163,.82485294,-1.2206427,-12.402113,6.0187869,1.9992234,6.431767,4.2260132,.23100899,5.0022936,7.4448409,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,9.7036934
1,8,-.24110676,3.9306166,2.3377938,-.44941187,9.2318277,6.644289,4.8554678,-.71917981,-4.4750848,6.4842515,3.2904451,-2.675185,-6.3328896,13.221057,3.4635131,1.0645339,-4.9083166,3.8698413,.54500288,1.9416151,.69106328,6.3280296,-1.0134701,12.900899,10.748663,1.9315935,-2.0246775,1.7732042,2.0673535,-1.8257282,-.60209292,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,1.0947591
1,9,1.1916695,1.7299653,3.4793034,.168598,-7.8980088,-.542193,-3.3452718,13.357869,5.7901077,5.5061851,5.989121,-2.0383792,8.1802607,.39238092,8.893568,6.0480714,-4.6784878,4.2737393,.69692767,-7.6579056,4.4520283,1.5265766,6.771605,4.6097178,2.6687362,-5.5398126,4.3784223,-3.036768,-1.1352825,-5.6742892,1.6955423,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,5.2550097
1,10,10.871596,8.6858692,-3.3446932,-1.5357876,-3.2746089,3.5805905,9.4494953,-.33920127,7.0674372,10.895973,6.9226913,5.5826735,3.0824924,3.0023592,-4.4353266,9.351038,17.779989,-4.1392965,-4.4212151,3.8162422,.047284178,2.5305784,7.8260455,-8.7159863,2.245954,-2.2484484,-4.2482657,4.9054952,-.37311238,-6.5509791,-15.278909,1.953353,2.7342865,.050935924,.42510417,2.321281,2.7995222,.93692607,4.4807806,-.28546855,3.1808302,3.3722234,-.34993118,.46259284,2.8757091,.83117825,3.0726438,2.0882211,.62833637,2.4472439,2.0721078,.52555513,.29026499,.9233138,-.13815212,4.3947997,-1.0402793,-.73595721,2.1313806,2.3817208,-1.2009193,.76868892,-25.008972
